<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAA.US,D,20220328,000000,24.82,24.82,24.81,24.81,1112,0
AAA.US,D,20220329,000000,24.785,24.785,24.785,24.785,62,0
AAA.US,D,20220330,000000,24.82,24.82,24.82,24.82,267,0
AAA.US,D,20220331,000000,24.86,24.86,24.8253,24.8253,101,0
AAA.US,D,20220401,000000,24.77,24.78,24.77,24.775,29944,0
AAA.US,D,20220404,000000,24.85,24.85,24.81,24.81,1331,0
AAA.US,D,20220405,000000,24.865,24.865,24.865,24.865,4,0
AAA.US,D,20220406,000000,24.83,24.8349,24.83,24.8349,211,0
AAA.US,D,20220407,000000,24.82,24.835,24.8,24.835,3686,0
AAA.US,D,20220408,000000,24.855,24.855,24.855,24.855,87,0
AAA.US,D,20220411,000000,24.87,24.87,24.855,24.855,124,0
AAA.US,D,20220412,000000,24.89,24.89,24.855,24.855,301,0
AAA.US,D,20220413,000000,24.875,24.875,24.855,24.855,337,0
AAA.US,D,20220414,000000,24.8655,24.8655,24.86,24.86,494,0
