<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAA.US,D,20201030,000000,24.832,24.832,24.82,24.83,1561,0
AAA.US,D,20201102,000000,24.78,24.78,24.77,24.77,9201,0
AAA.US,D,20201103,000000,24.77,24.77,24.77,24.77,102,0
AAA.US,D,20201104,000000,24.76,24.78,24.76,24.77,202,0
AAA.US,D,20201105,000000,24.75,24.75,24.75,24.75,1073,0
AAA.US,D,20201106,000000,24.765,24.765,24.765,24.765,2,0
AAA.US,D,20201109,000000,24.81,24.82,24.81,24.81,3879,0
AAA.US,D,20201110,000000,24.82,24.82,24.8,24.8,1805,0
AAA.US,D,20201111,000000,24.81,24.81,24.81,24.81,61,0
AAA.US,D,20201112,000000,24.825,24.825,24.825,24.825,256,0
AAA.US,D,20201113,000000,24.88,24.89,24.88,24.89,1464,0
AAA.US,D,20201116,000000,24.89,24.9,24.89,24.89,5221,0
AAA.US,D,20201117,000000,24.89,24.89,24.88,24.885,2633,0
AAA.US,D,20201118,000000,24.909,24.93,24.891,24.91,27996,0
AAA.US,D,20201119,000000,24.91,24.91,24.91,24.91,1508,0
AAA.US,D,20201120,000000,24.91,24.92,24.91,24.92,4818,0
AAA.US,D,20201123,000000,24.92,24.92,24.92,24.92,172,0
AAA.US,D,20201124,000000,24.929,24.929,24.92,24.92,772,0
AAA.US,D,20201125,000000,24.93,24.93,24.93,24.93,227,0
AAA.US,D,20201127,000000,24.93,24.93,24.93,24.93,303,0
AAA.US,D,20201130,000000,24.93,24.93,24.92,24.93,2716,0
AAA.US,D,20201201,000000,24.939,24.939,24.935,24.935,273,0
AAA.US,D,20201202,000000,24.92,24.932,24.92,24.93,2428,0
AAA.US,D,20201203,000000,24.94,24.94,24.94,24.94,465,0
AAA.US,D,20201204,000000,24.95,24.95,24.949,24.95,810,0
AAA.US,D,20201207,000000,24.958,24.96,24.955,24.955,647,0
AAA.US,D,20201208,000000,24.95,24.958,24.95,24.95,3008,0
AAA.US,D,20201209,000000,24.96,24.96,24.96,24.96,108,0
AAA.US,D,20201210,000000,24.96,24.96,24.96,24.96,215,0
AAA.US,D,20201211,000000,24.968,24.968,24.96,24.96,810,0
AAA.US,D,20201214,000000,24.96,24.96,24.892,24.96,1106,0
AAA.US,D,20201215,000000,24.96,24.96,24.96,24.96,1953,0
AAA.US,D,20201216,000000,24.97,24.97,24.97,24.97,46,0
AAA.US,D,20201217,000000,24.97,24.99,24.97,24.97,1477,0
AAA.US,D,20201218,000000,24.97,24.98,24.97,24.98,3054,0
AAA.US,D,20201221,000000,24.98,24.98,24.97,24.97,2749,0
